,Unnamed: 0,Project,File,Class,Code,isDC,isGC
997,997,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\NIOInputStream.,NIOInputStream,"public class NIOInputStream extends InputStream { protected int count; protected int position; private final ByteBuffer in; public NIOInputStream(ByteBuffer in) { this in = in; } public int read() throws IOException { try { int rc = in get() & 0xff; return rc; } catch (BufferUnderflowException e) { return -1; } } public int read(byte b[], int off, int len) throws IOException { if (in hasRemaining()) { int rc = Math min(len, in remaining()); in get(b, off, rc); return rc; } else { return len == 0 0 -1; } } public long skip(long n) throws IOException { int rc = Math min((int)n, in remaining()); in position(in position() + rc); return rc; } public int available() throws IOException { return in remaining(); } public boolean markSupported() { return false; } public void close() throws IOException { } }",1.0,
998,998,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\NIOOutputStream.,NIOOutputStream,"public class NIOOutputStream extends OutputStream implements TimeStampStream { private static final int BUFFER SIZE = 8192; private final WritableByteChannel out; private final byte[] buffer; private final ByteBuffer byteBuffer; private int count; private boolean closed; private volatile long writeTimestamp = -1; private SSLEngine engine; public NIOOutputStream(WritableByteChannel out) { this(out, BUFFER SIZE); } public NIOOutputStream(WritableByteChannel out, int size) { this out = out; if (size <= 0) { throw new IllegalArgumentException( Buffer size <= 0 ); } buffer = new byte[size]; byteBuffer = ByteBuffer wrap(buffer); } public void write(int b) throws IOException { checkClosed(); if (availableBufferToWrite() < 1) { flush(); } buffer[count++] = (byte)b; } public void write(byte b[], int off, int len) throws IOException { checkClosed(); if (availableBufferToWrite() < len) { flush(); } if (buffer length >= len) { System arraycopy(b, off, buffer, count, len); count += len; } else { write(ByteBuffer wrap(b, off, len)); } } public void flush() throws IOException { if (count > 0 && out != null) { byteBuffer position(0); byteBuffer limit(count); write(byteBuffer); count = 0; } } public void close() throws IOException { super close(); if (engine != null) { engine closeOutbound(); } closed = true; } protected void checkClosed() throws IOException { if (closed) { throw new EOFException( Cannot write to the stream any more it has already been closed ); } } private int availableBufferToWrite() { return buffer length - count; } protected void write(ByteBuffer data) throws IOException { ByteBuffer plain; if (engine != null) { plain = ByteBuffer allocate(engine getSession() getPacketBufferSize()); plain clear(); engine wrap(data, plain); plain flip(); } else { plain = data; } int remaining = plain remaining(); int lastRemaining = remaining - 1; long delay = 1; try { writeTimestamp = System currentTimeMillis(); while (remaining > 0) { if (remaining == lastRemaining) { try { Thread sleep(delay); delay *= 2; if (delay > 1000) { delay = 1000; } } catch (InterruptedException e) { throw new InterruptedIOException(); } } else { delay = 1; } lastRemaining = remaining; out write(plain); remaining = data remaining(); if (engine != null && data hasRemaining() && !plain hasRemaining()) { plain clear(); engine wrap(data, plain); plain flip(); } } } finally { writeTimestamp = -1; } } public boolean isWriting() { return writeTimestamp > 0; } public long getWriteTimestamp() { return writeTimestamp; } public void setEngine(SSLEngine engine) { this engine = engine; } }",1.0,
1001,1001,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\NIOSSLTransportServer.,NIOSSLTransportServer,"public class NIOSSLTransportServer extends TcpTransportServer { private SSLContext context; public NIOSSLTransportServer(SSLContext context, TcpTransportFactory transportFactory, URI location, ServerSocketFactory serverSocketFactory) throws IOException, URISyntaxException { super(transportFactory, location, serverSocketFactory); this context = context; } private boolean needClientAuth; private boolean wantClientAuth; Override protected Transport createTransport(Socket socket, WireFormat format) throws IOException { NIOSSLTransport transport = new NIOSSLTransport(format, socket); if (context != null) { transport setSslContext(context); } transport setNeedClientAuth(needClientAuth); transport setWantClientAuth(wantClientAuth); return transport; } Override public boolean isSslServer() { return true; } public boolean isNeedClientAuth() { return this needClientAuth; } public void setNeedClientAuth(boolean value) { this needClientAuth = value; } public boolean isWantClientAuth() { return this wantClientAuth; } public void setWantClientAuth(boolean value) { this wantClientAuth = value; } }",1.0,
1003,1003,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\NIOTransportFactory.,NIOTransportFactory,"public class NIOTransportFactory extends TcpTransportFactory { protected TcpTransportServer createTcpTransportServer(URI location, ServerSocketFactory serverSocketFactory) throws IOException, URISyntaxException { return new TcpTransportServer(this, location, serverSocketFactory) { protected Transport createTransport(Socket socket, WireFormat format) throws IOException { return new NIOTransport(format, socket); } }; } protected TcpTransport createTcpTransport(WireFormat wf, SocketFactory socketFactory, URI location, URI localLocation) throws UnknownHostException, IOException { return new NIOTransport(wf, socketFactory, location, localLocation); } protected ServerSocketFactory createServerSocketFactory() { return new ServerSocketFactory() { public ServerSocket createServerSocket(int port) throws IOException { ServerSocketChannel serverSocketChannel = ServerSocketChannel open(); serverSocketChannel socket() bind(new InetSocketAddress(port)); return serverSocketChannel socket(); } public ServerSocket createServerSocket(int port, int backlog) throws IOException { ServerSocketChannel serverSocketChannel = ServerSocketChannel open(); serverSocketChannel socket() bind(new InetSocketAddress(port), backlog); return serverSocketChannel socket(); } public ServerSocket createServerSocket(int port, int backlog, InetAddress ifAddress) throws IOException { ServerSocketChannel serverSocketChannel = ServerSocketChannel open(); serverSocketChannel socket() bind(new InetSocketAddress(ifAddress, port), backlog); return serverSocketChannel socket(); } }; } protected SocketFactory createSocketFactory() throws IOException { return new SocketFactory() { public Socket createSocket() throws IOException { SocketChannel channel = SocketChannel open(); return channel socket(); } public Socket createSocket(String host, int port) throws IOException, UnknownHostException { SocketChannel channel = SocketChannel open(); channel connect(new InetSocketAddress(host, port)); return channel socket(); } public Socket createSocket(InetAddress address, int port) throws IOException { SocketChannel channel = SocketChannel open(); channel connect(new InetSocketAddress(address, port)); return channel socket(); } public Socket createSocket(String address, int port, InetAddress localAddresss, int localPort) throws IOException, UnknownHostException { SocketChannel channel = SocketChannel open(); channel socket() bind(new InetSocketAddress(localAddresss, localPort)); channel connect(new InetSocketAddress(address, port)); return channel socket(); } public Socket createSocket(InetAddress address, int port, InetAddress localAddresss, int localPort) throws IOException { SocketChannel channel = SocketChannel open(); channel socket() bind(new InetSocketAddress(localAddresss, localPort)); channel connect(new InetSocketAddress(address, port)); return channel socket(); } }; } }",1.0,
1004,1004,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\SelectorManager.,SelectorManager,"public final class SelectorManager { public static final SelectorManager SINGLETON = new SelectorManager(); private Executor selectorExecutor = createDefaultExecutor(); private Executor channelExecutor = selectorExecutor; private LinkedList<SelectorWorker> freeWorkers = new LinkedList<SelectorWorker>(); private int maxChannelsPerWorker = 1024; protected ExecutorService createDefaultExecutor() { ThreadPoolExecutor rc = new ThreadPoolExecutor(0, Integer MAX VALUE, 10, TimeUnit SECONDS, new SynchronousQueue<Runnable>(), new ThreadFactory() { private long i = 0; public Thread newThread(Runnable runnable) { this i++; final Thread t = new Thread(runnable, ActiveMQ NIO Worker + this i); return t; } }); return rc; } public static SelectorManager getInstance() { return SINGLETON; } public interface Listener { void onSelect(SelectorSelection selector); void onError(SelectorSelection selection, Throwable error); } public synchronized SelectorSelection register(SocketChannel socketChannel, Listener listener) throws IOException { SelectorSelection selection = null; while( selection == null ) { if (freeWorkers size() > 0) { SelectorWorker worker = freeWorkers getFirst(); if( worker isReleased() ) { freeWorkers remove(worker); } else { worker retain(); selection = new SelectorSelection(worker, socketChannel, listener); } } else { SelectorWorker worker = new SelectorWorker(this); freeWorkers addFirst(worker); selection = new SelectorSelection(worker, socketChannel, listener); } } return selection; } synchronized void onWorkerFullEvent(SelectorWorker worker) { freeWorkers remove(worker); } public synchronized void onWorkerEmptyEvent(SelectorWorker worker) { freeWorkers remove(worker); } public synchronized void onWorkerNotFullEvent(SelectorWorker worker) { freeWorkers addFirst(worker); } public Executor getChannelExecutor() { return channelExecutor; } public void setChannelExecutor(Executor channelExecutor) { this channelExecutor = channelExecutor; } public int getMaxChannelsPerWorker() { return maxChannelsPerWorker; } public void setMaxChannelsPerWorker(int maxChannelsPerWorker) { this maxChannelsPerWorker = maxChannelsPerWorker; } public Executor getSelectorExecutor() { return selectorExecutor; } public void setSelectorExecutor(Executor selectorExecutor) { this selectorExecutor = selectorExecutor; } }",1.0,
1005,1005,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\SelectorSelection.,SelectorSelection,"public final class SelectorSelection { private final SelectorWorker worker; private final Listener listener; private int interest; private SelectionKey key; private AtomicBoolean closed = new AtomicBoolean(); public SelectorSelection(final SelectorWorker worker, final SocketChannel socketChannel, Listener listener) throws ClosedChannelException { this worker = worker; this listener = listener; worker addIoTask(new Runnable() { public void run() { try { SelectorSelection this key = socketChannel register(worker selector, 0, SelectorSelection this); } catch (Exception e) { e printStackTrace(); } } }); } public void setInterestOps(int ops) { interest = ops; } public void enable() { worker addIoTask(new Runnable() { public void run() { try { key interestOps(interest); } catch (CancelledKeyException e) { } } }); } public void disable() { worker addIoTask(new Runnable() { public void run() { try { key interestOps(0); } catch (CancelledKeyException e) { } } }); } public void close() { if( closed compareAndSet(false, true) ) { worker addIoTask(new Runnable() { public void run() { try { key cancel(); } catch (CancelledKeyException e) { } worker release(); } }); } } public void onSelect() { listener onSelect(this); } public void onError(Throwable e) { listener onError(this, e); } }",1.0,
1006,1006,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\nio\SelectorWorker.,SelectorWorker,public class SelectorWorker implements Runnable { private static final AtomicInteger NEXT ID = new AtomicInteger(); final SelectorManager manager; final Selector selector; final int id = NEXT ID getAndIncrement(); private final int maxChannelsPerWorker; final AtomicInteger retainCounter = new AtomicInteger(1); private final ConcurrentLinkedQueue<Runnable> ioTasks = new ConcurrentLinkedQueue<Runnable>(); public SelectorWorker(SelectorManager manager) throws IOException { this manager = manager; selector = Selector open(); maxChannelsPerWorker = manager getMaxChannelsPerWorker(); manager getSelectorExecutor() execute(this); } void retain() { if (retainCounter incrementAndGet() == maxChannelsPerWorker) { manager onWorkerFullEvent(this); } } void release() { int use = retainCounter decrementAndGet(); if (use == 0) { manager onWorkerEmptyEvent(this); } else if (use == maxChannelsPerWorker - 1) { manager onWorkerNotFullEvent(this); } } boolean isReleased() { return retainCounter get()==0; } public void addIoTask(Runnable work) { ioTasks add(work); selector wakeup(); } private void processIoTasks() { Runnable task; while( (task= ioTasks poll()) !=null ) { try { task run(); } catch (Throwable e) { e printStackTrace(); } } } public void run() { String origName = Thread currentThread() getName(); try { Thread currentThread() setName( Selector Worker + id); while (!isReleased()) { processIoTasks(); int count = selector select(10); if (count == 0) { continue; } Set keys = selector selectedKeys(); for (Iterator i = keys iterator(); i hasNext();) { final SelectionKey key = (SelectionKey)i next(); i remove(); final SelectorSelection s = (SelectorSelection)key attachment(); try { if( key isValid() ) { key interestOps(0); } manager getChannelExecutor() execute(new Runnable() { public void run() { try { s onSelect(); s enable(); } catch (Throwable e) { s onError(e); } } }); } catch (Throwable e) { s onError(e); } } } } catch (Throwable e) { e printStackTrace(); Set keys = selector keys(); for (Iterator i = keys iterator(); i hasNext();) { SelectionKey key = (SelectionKey)i next(); SelectorSelection s = (SelectorSelection)key attachment(); s onError(e); } } finally { try { manager onWorkerEmptyEvent(this); selector close(); } catch (IOException ignore) { ignore printStackTrace(); } Thread currentThread() setName(origName); } } },1.0,
1007,1007,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\reliable\DefaultReplayBuffer.,DefaultReplayBuffer,"public class DefaultReplayBuffer implements ReplayBuffer { private static final Logger LOG = LoggerFactory getLogger(DefaultReplayBuffer class); private final int size; private ReplayBufferListener listener; private Map<Integer, Object> map; private int lowestCommandId = 1; private Object lock = new Object(); public DefaultReplayBuffer(int size) { this size = size; map = createMap(size); } public void addBuffer(int commandId, Object buffer) { if (LOG isDebugEnabled()) { LOG debug( Adding command ID + commandId + to replay buffer + this + object + buffer); } synchronized (lock) { int max = size - 1; while (map size() >= max) { Object evictedBuffer = map remove(Integer valueOf(++lowestCommandId)); onEvictedBuffer(lowestCommandId, evictedBuffer); } map put(Integer valueOf(commandId), buffer); } } public void setReplayBufferListener(ReplayBufferListener bufferPoolAdapter) { this listener = bufferPoolAdapter; } public void replayMessages(int fromCommandId, int toCommandId, Replayer replayer) throws IOException { if (replayer == null) { throw new IllegalArgumentException( No Replayer parameter specified ); } if (LOG isDebugEnabled()) { LOG debug( Buffer + this + replaying messages from + fromCommandId + to + toCommandId); } for (int i = fromCommandId; i <= toCommandId; i++) { Object buffer = null; synchronized (lock) { buffer = map get(Integer valueOf(i)); } replayer sendBuffer(i, buffer); } } protected Map<Integer, Object> createMap(int maximumSize) { return new HashMap<Integer, Object>(maximumSize); } protected void onEvictedBuffer(int commandId, Object buffer) { if (listener != null) { listener onBufferDiscarded(commandId, buffer); } } }",1.0,
1008,1008,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\reliable\DefaultReplayStrategy.,DefaultReplayStrategy,"public class DefaultReplayStrategy implements ReplayStrategy { private int maximumDifference = 5; public DefaultReplayStrategy() { } public DefaultReplayStrategy(int maximumDifference) { this maximumDifference = maximumDifference; } public boolean onDroppedPackets(ReliableTransport transport, int expectedCounter, int actualCounter, int nextAvailableCounter) throws IOException { int difference = actualCounter - expectedCounter; long count = Math abs(difference); if (count > maximumDifference) { int upperLimit = actualCounter - 1; if (upperLimit < expectedCounter) { upperLimit = expectedCounter; } transport requestReplay(expectedCounter, upperLimit); } return difference > 0; } public void onReceivedPacket(ReliableTransport transport, long expectedCounter) { } public int getMaximumDifference() { return maximumDifference; } public void setMaximumDifference(int maximumDifference) { this maximumDifference = maximumDifference; } }",1.0,
1009,1009,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\reliable\ExceptionIfDroppedReplayStrategy.,ExceptionIfDroppedReplayStrategy,"public class ExceptionIfDroppedReplayStrategy implements ReplayStrategy { private int maximumDifference = 5; public ExceptionIfDroppedReplayStrategy() { } public ExceptionIfDroppedReplayStrategy(int maximumDifference) { this maximumDifference = maximumDifference; } public boolean onDroppedPackets(ReliableTransport transport, int expectedCounter, int actualCounter, int nextAvailableCounter) throws IOException { int difference = actualCounter - expectedCounter; long count = Math abs(difference); if (count > maximumDifference) { throw new IOException( Packets dropped on + transport + count + count + expected + expectedCounter + but was + actualCounter); } return difference > 0; } public void onReceivedPacket(ReliableTransport transport, long expectedCounter) { } public int getMaximumDifference() { return maximumDifference; } public void setMaximumDifference(int maximumDifference) { this maximumDifference = maximumDifference; } }",1.0,
1010,1010,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\reliable\ReliableTransport.,ReliableTransport,"public class ReliableTransport extends ResponseCorrelator { private static final Logger LOG = LoggerFactory getLogger(ReliableTransport class); private ReplayStrategy replayStrategy; private final SortedSet<Command> commands = new TreeSet<Command>(new CommandIdComparator()); private int expectedCounter = 1; private int replayBufferCommandCount = 50; private int requestTimeout = 2000; private ReplayBuffer replayBuffer; private Replayer replayer; private UdpTransport udpTransport; public ReliableTransport(Transport next, ReplayStrategy replayStrategy) { super(next); this replayStrategy = replayStrategy; } public ReliableTransport(Transport next, UdpTransport udpTransport) throws IOException { super(next, udpTransport getSequenceGenerator()); this udpTransport = udpTransport; this replayer = udpTransport createReplayer(); } public void requestReplay(int fromCommandId, int toCommandId) { ReplayCommand replay = new ReplayCommand(); replay setFirstNakNumber(fromCommandId); replay setLastNakNumber(toCommandId); try { oneway(replay); } catch (IOException e) { getTransportListener() onException(e); } } Override public Object request(Object o) throws IOException { final Command command = (Command)o; FutureResponse response = asyncRequest(command, null); while (true) { Response result = response getResult(requestTimeout); if (result != null) { return result; } onMissingResponse(command, response); } } Override public Object request(Object o, int timeout) throws IOException { final Command command = (Command)o; FutureResponse response = asyncRequest(command, null); while (timeout > 0) { int time = timeout; if (timeout > requestTimeout) { time = requestTimeout; } Response result = response getResult(time); if (result != null) { return result; } onMissingResponse(command, response); timeout -= time; } return response getResult(0); } Override public void onCommand(Object o) { Command command = (Command)o; if (command isWireFormatInfo()) { super onCommand(command); return; } else if (command getDataStructureType() == ReplayCommand DATA STRUCTURE TYPE) { replayCommands((ReplayCommand)command); return; } int actualCounter = command getCommandId(); boolean valid = expectedCounter == actualCounter; if (!valid) { synchronized (commands) { int nextCounter = actualCounter; boolean empty = commands isEmpty(); if (!empty) { Command nextAvailable = commands first(); nextCounter = nextAvailable getCommandId(); } try { boolean keep = replayStrategy onDroppedPackets(this, expectedCounter, actualCounter, nextCounter); if (keep) { if (LOG isDebugEnabled()) { LOG debug( Received out of order command which is being buffered for later + command); } commands add(command); } } catch (IOException e) { onException(e); } if (!empty) { command = commands first(); valid = expectedCounter == command getCommandId(); if (valid) { commands remove(command); } } } } while (valid) { replayStrategy onReceivedPacket(this, expectedCounter); expectedCounter++; super onCommand(command); synchronized (commands) { valid = !commands isEmpty(); if (valid) { command = commands first(); valid = expectedCounter == command getCommandId(); if (valid) { commands remove(command); } } } } } public int getBufferedCommandCount() { synchronized (commands) { return commands size(); } } public int getExpectedCounter() { return expectedCounter; } public void setExpectedCounter(int expectedCounter) { this expectedCounter = expectedCounter; } public int getRequestTimeout() { return requestTimeout; } public void setRequestTimeout(int requestTimeout) { this requestTimeout = requestTimeout; } public ReplayStrategy getReplayStrategy() { return replayStrategy; } public ReplayBuffer getReplayBuffer() { if (replayBuffer == null) { replayBuffer = createReplayBuffer(); } return replayBuffer; } public void setReplayBuffer(ReplayBuffer replayBuffer) { this replayBuffer = replayBuffer; } public int getReplayBufferCommandCount() { return replayBufferCommandCount; } public void setReplayBufferCommandCount(int replayBufferSize) { this replayBufferCommandCount = replayBufferSize; } public void setReplayStrategy(ReplayStrategy replayStrategy) { this replayStrategy = replayStrategy; } public Replayer getReplayer() { return replayer; } public void setReplayer(Replayer replayer) { this replayer = replayer; } Override public String toString() { return next toString(); } Override public void start() throws Exception { if (udpTransport != null) { udpTransport setReplayBuffer(getReplayBuffer()); } if (replayStrategy == null) { throw new IllegalArgumentException( Property replayStrategy not specified ); } super start(); } protected void onMissingResponse(Command command, FutureResponse response) { LOG debug( Still waiting for response on + this + to command + command + sending replay message ); int commandId = command getCommandId(); requestReplay(commandId, commandId); } protected ReplayBuffer createReplayBuffer() { return new DefaultReplayBuffer(getReplayBufferCommandCount()); } protected void replayCommands(ReplayCommand command) { try { if (replayer == null) { onException(new IOException( Cannot replay commands No replayer property configured )); } if (LOG isDebugEnabled()) { LOG debug( Processing replay command + command); } getReplayBuffer() replayMessages(command getFirstNakNumber(), command getLastNakNumber(), replayer); } catch (IOException e) { onException(e); } } }",1.0,
1011,1011,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\ExceededMaximumConnectionsException.,ExceededMaximumConnectionsException,public class ExceededMaximumConnectionsException extends Exception { private static final long serialVersionUID = -1166885550766355524L; public ExceededMaximumConnectionsException(String message) { super(message); } },1.0,
1012,1012,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\QualityOfServiceUtils.,QualityOfServiceUtils,"public class QualityOfServiceUtils { private static final int MAX DIFF SERV = 63; private static final int MIN DIFF SERV = 0; private static final Map<String, Integer> DIFF SERV NAMES = new HashMap<String, Integer>(); static { DIFF SERV NAMES put( CS0 , 0); DIFF SERV NAMES put( CS1 , 8); DIFF SERV NAMES put( CS2 , 16); DIFF SERV NAMES put( CS3 , 24); DIFF SERV NAMES put( CS4 , 32); DIFF SERV NAMES put( CS5 , 40); DIFF SERV NAMES put( CS6 , 48); DIFF SERV NAMES put( CS7 , 56); DIFF SERV NAMES put( AF11 , 10); DIFF SERV NAMES put( AF12 , 12); DIFF SERV NAMES put( AF13 , 14); DIFF SERV NAMES put( AF21 , 18); DIFF SERV NAMES put( AF22 , 20); DIFF SERV NAMES put( AF23 , 22); DIFF SERV NAMES put( AF31 , 26); DIFF SERV NAMES put( AF32 , 28); DIFF SERV NAMES put( AF33 , 30); DIFF SERV NAMES put( AF41 , 34); DIFF SERV NAMES put( AF42 , 36); DIFF SERV NAMES put( AF43 , 38); DIFF SERV NAMES put( EF , 46); } private static final int MAX TOS = 255; private static final int MIN TOS = 0; public static int getDSCP(String value) throws IllegalArgumentException { int intValue = -1; if (DIFF SERV NAMES containsKey(value)) { intValue = DIFF SERV NAMES get(value); } else { try { intValue = Integer parseInt(value); if (intValue > MAX DIFF SERV || intValue < MIN DIFF SERV) { throw new IllegalArgumentException( Differentiated Services + value + intValue + not in legal range [ + MIN DIFF SERV + , + MAX DIFF SERV + ] ); } } catch (NumberFormatException e) { throw new IllegalArgumentException( No such Differentiated + Services name + value); } } return adjustDSCPForECN(intValue); } public static int getToS(int value) throws IllegalArgumentException { if (value > MAX TOS || value < MIN TOS) { throw new IllegalArgumentException( Type of Service value + value + not in legal range [ + MIN TOS + , + MAX TOS + ); } return value; } private static int adjustDSCPForECN(int dscp) throws IllegalArgumentException { Socket socket = new Socket(); try { int systemTrafficClass = socket getTrafficClass(); return (dscp << 2) | (systemTrafficClass & 3); } catch (SocketException e) { throw new IllegalArgumentException( Setting Differentiated Services + not supported + e); } } }",1.0,
1013,1013,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\ResponseHolder.,ResponseHolder,public class ResponseHolder { protected Response response; protected Object lock = new Object(); protected boolean notified; public ResponseHolder() { } public void setResponse(Response r) { synchronized (lock) { this response = r; notified = true; lock notify(); } } public Response getResponse() { return getResponse(0); } public Response getResponse(int timeout) { synchronized (lock) { if (!notified) { try { lock wait(timeout); } catch (InterruptedException e) { Thread currentThread() interrupt(); } } } return this response; } public void close() { synchronized (lock) { notified = true; lock notifyAll(); } } },1.0,
1014,1014,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\SslTransport.,SslTransport,"public class SslTransport extends TcpTransport { public SslTransport(WireFormat wireFormat, SSLSocketFactory socketFactory, URI remoteLocation, URI localLocation, boolean needClientAuth) throws IOException { super(wireFormat, socketFactory, remoteLocation, localLocation); if (this socket != null) { ((SSLSocket)this socket) setNeedClientAuth(needClientAuth); } } public SslTransport(WireFormat wireFormat, SSLSocket socket) throws IOException { super(wireFormat, socket); } public void doConsume(Object command) { if (command instanceof ConnectionInfo) { ConnectionInfo connectionInfo = (ConnectionInfo)command; connectionInfo setTransportContext(getPeerCertificates()); } super doConsume(command); } public X509Certificate[] getPeerCertificates() { SSLSocket sslSocket = (SSLSocket)this socket; SSLSession sslSession = sslSocket getSession(); X509Certificate[] clientCertChain; try { clientCertChain = (X509Certificate[])sslSession getPeerCertificates(); } catch (SSLPeerUnverifiedException e) { clientCertChain = null; } return clientCertChain; } public String toString() { return ssl } }",1.0,
1016,1016,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\SslTransportServer.,SslTransportServer,"public class SslTransportServer extends TcpTransportServer { private boolean needClientAuth; private boolean wantClientAuth; public SslTransportServer(SslTransportFactory transportFactory, URI location, SSLServerSocketFactory serverSocketFactory) throws IOException, URISyntaxException { super(transportFactory, location, serverSocketFactory); } public void setNeedClientAuth(boolean needAuth) { this needClientAuth = needAuth; } public boolean getNeedClientAuth() { return this needClientAuth; } public boolean getWantClientAuth() { return this wantClientAuth; } public void setWantClientAuth(boolean wantAuth) { this wantClientAuth = wantAuth; } public void bind() throws IOException { super bind(); if (needClientAuth) { ((SSLServerSocket)this serverSocket) setNeedClientAuth(true); } else if (wantClientAuth) { ((SSLServerSocket)this serverSocket) setWantClientAuth(true); } } protected Transport createTransport(Socket socket, WireFormat format) throws IOException { return new SslTransport(format, (SSLSocket)socket); } Override public boolean isSslServer() { return true; } }",1.0,
1017,1017,data,\smellybot\activemq\activemq-client\src\main\java\org\apache\activemq\transport\tcp\TcpBufferedInputStream.,TcpBufferedInputStream,"public class TcpBufferedInputStream extends FilterInputStream { private static final int DEFAULT BUFFER SIZE = 8192; protected byte internalBuffer[]; protected int count; protected int position; public TcpBufferedInputStream(InputStream in) { this(in, DEFAULT BUFFER SIZE); } public TcpBufferedInputStream(InputStream in, int size) { super(in); if (size <= 0) { throw new IllegalArgumentException( Buffer size <= 0 ); } internalBuffer = new byte[size]; } protected void fill() throws IOException { byte[] buffer = internalBuffer; count = 0; position = 0; int n = in read(buffer, position, buffer length - position); if (n > 0) { count = n + position; } } public int read() throws IOException { if (position >= count) { fill(); if (position >= count) { return -1; } } return internalBuffer[position++] & 0xff; } private int readStream(byte[] b, int off, int len) throws IOException { int avail = count - position; if (avail <= 0) { if (len >= internalBuffer length) { return in read(b, off, len); } fill(); avail = count - position; if (avail <= 0) { return -1; } } int cnt = (avail < len) avail len; System arraycopy(internalBuffer, position, b, off, cnt); position += cnt; return cnt; } public int read(byte b[], int off, int len) throws IOException { if ((off | len | (off + len) | (b length - (off + len))) < 0) { throw new IndexOutOfBoundsException(); } else if (len == 0) { return 0; } int n = 0; for (;;) { int nread = readStream(b, off + n, len - n); if (nread <= 0) { return (n == 0) nread n; } n += nread; if (n >= len) { return n; } InputStream input = in; if (input != null && input available() <= 0) { return n; } } } public long skip(long n) throws IOException { if (n <= 0) { return 0; } long avail = count - position; if (avail <= 0) { return in skip(n); } long skipped = (avail < n) avail n; position += skipped; return skipped; } public int available() throws IOException { return in available() + (count - position); } public boolean markSupported() { return false; } public void close() throws IOException { if (in != null) { in close(); } } }",1.0,
